,filepath,qpm,time_sign_num,time_sign_den,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset,onset_seconds
0,data/bach.mxl,72.0,3,8,1,1,major,0,rest,,,,,,,,0.0625,0.0,0.0
1,data/bach.mxl,72.0,3,8,1,1,major,0,note,G4,G,G,0.0,4,67.0,7.0,0.0625,0.16666666666666669,0.20833333333333337
2,data/bach.mxl,72.0,3,8,1,1,major,0,note,A4,A,A,0.0,4,69.0,9.0,0.0625,0.33333333333333337,0.41666666666666674
3,data/bach.mxl,72.0,3,8,1,1,major,0,note,B4,B,B,0.0,4,71.0,11.0,0.0625,0.5,0.625
4,data/bach.mxl,72.0,3,8,1,1,major,0,note,C5,C,C,0.0,5,72.0,0.0,0.0625,0.6666666666666667,0.8333333333333335
5,data/bach.mxl,72.0,3,8,1,1,major,0,note,A4,A,A,0.0,4,69.0,9.0,0.0625,0.8333333333333335,1.041666666666667
6,data/bach.mxl,72.0,3,8,1,1,major,0,note,E3,E,E,0.0,3,52.0,4.0,0.125,0.0,0.0
7,data/bach.mxl,72.0,3,8,1,1,major,0,note,E2,E,E,0.0,2,40.0,4.0,0.125,0.33333333333333337,0.41666666666666674
8,data/bach.mxl,72.0,3,8,1,1,major,0,rest,,,,,,,,0.125,0.6666666666666667,0.8333333333333335
9,data/bach.mxl,72.0,3,8,2,1,major,0,note,B4,B,B,0.0,4,71.0,11.0,0.0625,1.0,1.25
10,data/bach.mxl,72.0,3,8,2,1,major,0,note,G4,G,G,0.0,4,67.0,7.0,0.0625,1.1666666666666665,1.458333333333333
11,data/bach.mxl,72.0,3,8,2,1,major,0,note,F#4,F#,F,1.0,4,66.0,6.0,0.0625,1.3333333333333333,1.6666666666666665
12,data/bach.mxl,72.0,3,8,2,1,major,0,note,E4,E,E,0.0,4,64.0,4.0,0.0625,1.4999999999999998,1.8749999999999998
13,data/bach.mxl,72.0,3,8,2,1,major,0,note,D#4,D#,D,1.0,4,63.0,3.0,0.0625,1.6666666666666665,2.083333333333333
14,data/bach.mxl,72.0,3,8,2,1,major,0,note,A4,A,A,0.0,4,69.0,9.0,0.0625,1.8333333333333335,2.291666666666667
15,data/bach.mxl,72.0,3,8,2,1,major,0,rest,,,,,,,,0.25,1.0,1.25
16,data/bach.mxl,72.0,3,8,3,1,major,0,note,G4,G,G,0.0,4,67.0,7.0,0.03125,2.0000000000000004,2.5000000000000004
17,data/bach.mxl,72.0,3,8,3,1,major,0,note,F#4,F#,F,1.0,4,66.0,6.0,0.03125,2.083333333333334,2.6041666666666674
18,data/bach.mxl,72.0,3,8,3,1,major,0,note,E4,E,E,0.0,4,64.0,4.0,0.0625,2.166666666666667,2.708333333333334
19,data/bach.mxl,72.0,3,8,3,1,major,0,note,E5,E,E,0.0,5,76.0,4.0,0.125,2.333333333333333,2.916666666666666
20,data/bach.mxl,72.0,3,8,3,1,major,0,rest,,,,,,,,0.125,2.666666666666666,3.3333333333333326
21,data/bach.mxl,72.0,3,8,3,1,major,0,rest,,,,,,,,0.0625,2.0,2.5
22,data/bach.mxl,72.0,3,8,3,1,major,0,note,G3,G,G,0.0,3,55.0,7.0,0.0625,2.166666666666667,2.708333333333334
23,data/bach.mxl,72.0,3,8,3,1,major,0,note,A3,A,A,0.0,3,57.0,9.0,0.0625,2.333333333333333,2.916666666666666
24,data/bach.mxl,72.0,3,8,3,1,major,0,note,B3,B,B,0.0,3,59.0,11.0,0.0625,2.5,3.125
25,data/bach.mxl,72.0,3,8,3,1,major,0,note,C4,C,C,0.0,4,60.0,0.0,0.0625,2.666666666666667,3.333333333333334
26,data/bach.mxl,72.0,3,8,3,1,major,0,note,A3,A,A,0.0,3,57.0,9.0,0.0625,2.833333333333333,3.541666666666666
27,data/bach.mxl,72.0,3,8,4,1,major,0,note,D#5,D#,D,1.0,5,75.0,3.0,0.03125,3.0,3.75
28,data/bach.mxl,72.0,3,8,4,1,major,0,note,C#5,C#,C,1.0,5,73.0,1.0,0.03125,3.0833333333333335,3.854166666666667
29,data/bach.mxl,72.0,3,8,4,1,major,0,note,B4,B,B,0.0,4,71.0,11.0,0.0625,3.166666666666667,3.958333333333334
30,data/bach.mxl,72.0,3,8,4,1,major,0,note,A5,A,A,0.0,5,81.0,9.0,0.125,3.333333333333334,4.166666666666668
31,data/bach.mxl,72.0,3,8,4,1,major,0,rest,,,,,,,,0.125,3.6666666666666683,4.583333333333336
32,data/bach.mxl,72.0,3,8,4,1,major,0,note,B3,B,B,0.0,3,59.0,11.0,0.0625,3.0000000000000004,3.7500000000000004
33,data/bach.mxl,72.0,3,8,4,1,major,0,note,G3,G,G,0.0,3,55.0,7.0,0.0625,3.1666666666666674,3.9583333333333344
34,data/bach.mxl,72.0,3,8,4,1,major,0,note,F#3,F#,F,1.0,3,54.0,6.0,0.0625,3.333333333333335,4.166666666666669
35,data/bach.mxl,72.0,3,8,4,1,major,0,note,E3,E,E,0.0,3,52.0,4.0,0.0625,3.5000000000000013,4.375000000000002
36,data/bach.mxl,72.0,3,8,4,1,major,0,note,D#3,D#,D,1.0,3,51.0,3.0,0.0625,3.6666666666666683,4.583333333333336
37,data/bach.mxl,72.0,3,8,4,1,major,0,note,A3,A,A,0.0,3,57.0,9.0,0.0625,3.833333333333335,4.791666666666669
38,data/bach.mxl,72.0,3,8,5,1,major,0,rest,,,,,,,,0.0625,4.000000000000002,5.000000000000002
39,data/bach.mxl,72.0,3,8,5,1,major,0,note,G4,G,G,0.0,4,67.0,7.0,0.0625,4.166666666666669,5.208333333333336
40,data/bach.mxl,72.0,3,8,5,1,major,0,note,A4,A,A,0.0,4,69.0,9.0,0.0625,4.333333333333336,5.41666666666667
41,data/bach.mxl,72.0,3,8,5,1,major,0,note,B4,B,B,0.0,4,71.0,11.0,0.0625,4.500000000000003,5.6250000000000036
42,data/bach.mxl,72.0,3,8,5,1,major,0,note,C5,C,C,0.0,5,72.0,0.0,0.0625,4.666666666666669,5.833333333333336
43,data/bach.mxl,72.0,3,8,5,1,major,0,note,A4,A,A,0.0,4,69.0,9.0,0.0625,4.833333333333336,6.04166666666667
44,data/bach.mxl,72.0,3,8,5,1,major,0,note,G3,G,G,0.0,3,55.0,7.0,0.0625,4.0,5.0
45,data/bach.mxl,72.0,3,8,5,1,major,0,note,E3,E,E,0.0,3,52.0,4.0,0.0625,4.166666666666667,5.208333333333334
46,data/bach.mxl,72.0,3,8,5,1,major,0,note,F#3,F#,F,1.0,3,54.0,6.0,0.0625,4.333333333333334,5.416666666666668
47,data/bach.mxl,72.0,3,8,5,1,major,0,note,G3,G,G,0.0,3,55.0,7.0,0.0625,4.500000000000001,5.625000000000001
