,filepath,qpm,time_sign_num,time_sign_den,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset,onset_seconds
0,data/chopin.mxl,54.0,4,4,1,1,major,0,rest,,,,,,,,0.5,0.0,0.0
1,data/chopin.mxl,54.0,4,4,1,1,major,0,rest,,,,,,,,0.25,0.5,2.2222222222222223
2,data/chopin.mxl,54.0,4,4,1,1,major,0,note,B3,B,B,0.0,3,59.0,11.0,0.1875,0.75,3.3333333333333335
3,data/chopin.mxl,54.0,4,4,1,1,major,0,note,B4,B,B,0.0,4,71.0,11.0,0.0625,0.9375,4.166666666666667
98,data/chopin.mxl,54.0,4,4,1,1,major,0,rest,,,,,,,,1.0,0.0,0.0
4,data/chopin.mxl,54.0,4,4,2,1,major,0,note,B4,B,B,0.0,4,71.0,11.0,0.75,1.0,4.444444444444445
5,data/chopin.mxl,54.0,4,4,2,1,major,0,note,C5,C,C,0.0,5,72.0,0.0,0.25,1.7500000000000004,7.77777777777778
99,data/chopin.mxl,54.0,4,4,2,1,major,0,note,G3,G,G,0.0,3,55.0,7.0,0.125,1.0,4.444444444444445
100,data/chopin.mxl,54.0,4,4,2,1,major,0,note,B3,B,B,0.0,3,59.0,11.0,0.125,1.0,4.444444444444445
101,data/chopin.mxl,54.0,4,4,2,1,major,0,note,E4,E,E,0.0,4,64.0,4.0,0.125,1.0,4.444444444444445
102,data/chopin.mxl,54.0,4,4,2,1,major,0,note,G3,G,G,0.0,3,55.0,7.0,0.125,1.125,5.0
103,data/chopin.mxl,54.0,4,4,2,1,major,0,note,B3,B,B,0.0,3,59.0,11.0,0.125,1.125,5.0
104,data/chopin.mxl,54.0,4,4,2,1,major,0,note,E4,E,E,0.0,4,64.0,4.0,0.125,1.125,5.0
105,data/chopin.mxl,54.0,4,4,2,1,major,0,note,G3,G,G,0.0,3,55.0,7.0,0.125,1.25,5.555555555555555
106,data/chopin.mxl,54.0,4,4,2,1,major,0,note,B3,B,B,0.0,3,59.0,11.0,0.125,1.25,5.555555555555555
107,data/chopin.mxl,54.0,4,4,2,1,major,0,note,E4,E,E,0.0,4,64.0,4.0,0.125,1.25,5.555555555555555
108,data/chopin.mxl,54.0,4,4,2,1,major,0,note,G3,G,G,0.0,3,55.0,7.0,0.125,1.375,6.111111111111112
109,data/chopin.mxl,54.0,4,4,2,1,major,0,note,B3,B,B,0.0,3,59.0,11.0,0.125,1.375,6.111111111111112
110,data/chopin.mxl,54.0,4,4,2,1,major,0,note,E4,E,E,0.0,4,64.0,4.0,0.125,1.375,6.111111111111112
111,data/chopin.mxl,54.0,4,4,2,1,major,0,note,G3,G,G,0.0,3,55.0,7.0,0.125,1.5,6.666666666666667
112,data/chopin.mxl,54.0,4,4,2,1,major,0,note,B3,B,B,0.0,3,59.0,11.0,0.125,1.5,6.666666666666667
113,data/chopin.mxl,54.0,4,4,2,1,major,0,note,E4,E,E,0.0,4,64.0,4.0,0.125,1.5,6.666666666666667
