,filepath,qpm,time_sign_num,time_sign_den,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset,onset_seconds
0,data/frescobaldi.mxl,10.0,8,4,1,0,major,0,note,D5,D,D,0,5,74,2,0.5,0.0,0.0
1,data/frescobaldi.mxl,10.0,8,4,1,0,major,0,note,Bb4,Bb,B,-1,4,70,10,0.25,0.43641172581000653,20.947762838880315
2,data/frescobaldi.mxl,10.0,8,4,1,0,major,0,note,A4,A,A,0,4,69,9,0.5,0.5236940709720078,25.137315406656377
3,data/frescobaldi.mxl,10.0,8,4,1,0,major,0,note,G4,G,G,0,4,67,7,0.125,0.7176548379986775,34.44743222393652
4,data/frescobaldi.mxl,10.0,8,4,1,0,major,0,note,F4,F,F,0,4,65,5,0.125,0.7573286312541325,36.35177430019836
5,data/frescobaldi.mxl,10.0,8,4,1,0,major,0,note,G4,G,G,0,4,67,7,0.5,0.7970024245095877,38.25611637646021
6,data/frescobaldi.mxl,10.0,8,4,1,0,major,0,note,A4,A,A,0,4,69,9,0.5,0.2733083535375799,13.118800969803834
7,data/frescobaldi.mxl,10.0,8,4,1,0,major,0,note,F4,F,F,0,4,65,5,0.375,0.4478730438615825,21.49790610535596
8,data/frescobaldi.mxl,10.0,8,4,1,0,major,0,note,E4,E,E,0,4,64,4,0.125,0.5787965616045845,27.782234957020055
9,data/frescobaldi.mxl,10.0,8,4,1,0,major,0,note,D4,D,D,0,4,62,2,0.5,0.6224377341855851,29.877011240908086
10,data/frescobaldi.mxl,10.0,8,4,1,0,major,0,note,C4,C,C,0,4,60,0,0.5,0.8406435970905884,40.350892660348244
11,data/frescobaldi.mxl,10.0,8,4,1,0,major,0,note,F4,F,F,0,4,65,5,0.5,0.18602600837557862,8.929248402027774
12,data/frescobaldi.mxl,10.0,8,4,1,0,major,0,note,D4,D,D,0,4,62,2,0.25,0.40423187128058186,19.403129821467928
13,data/frescobaldi.mxl,10.0,8,4,1,0,major,0,note,C4,C,C,0,4,60,0,0.25,0.5133348027330835,24.64007053118801
14,data/frescobaldi.mxl,10.0,8,4,1,0,major,0,note,Bb3,Bb,B,-1,3,58,10,0.75,0.6224377341855851,29.877011240908086
15,data/frescobaldi.mxl,10.0,8,4,1,0,major,0,note,A3,A,A,0,3,57,9,0.125,0.94974652854309,45.587833370068324
16,data/frescobaldi.mxl,10.0,8,4,1,0,major,0,note,G3,G,G,0,3,55,7,0.125,1.0042979942693409,48.20630372492836
17,data/frescobaldi.mxl,10.0,8,4,1,0,major,0,note,D3,D,D,0,3,50,2,1.5,0.18602600837557862,8.929248402027774
18,data/frescobaldi.mxl,10.0,8,4,1,0,major,0,note,E3,E,E,0,3,52,4,0.5,0.8406435970905884,40.350892660348244
19,data/frescobaldi.mxl,10.0,8,4,1,0,major,0,note,D2,D,D,0,2,38,2,1.5,0.18602600837557862,8.929248402027774
20,data/frescobaldi.mxl,10.0,8,4,1,0,major,0,note,E2,E,E,0,2,40,4,0.5,0.8406435970905884,40.350892660348244
21,data/frescobaldi.mxl,10.0,8,4,2,0,major,0,note,G4,G,G,0,4,67,7,0.25,1.0674242424242424,51.236363636363635
22,data/frescobaldi.mxl,10.0,8,4,2,0,major,0,note,F4,F,F,0,4,65,5,0.5,1.2340909090909091,59.236363636363635
23,data/frescobaldi.mxl,10.0,8,4,2,0,major,0,note,E4,E,E,0,4,64,4,0.25,1.4840909090909091,71.23636363636363
24,data/frescobaldi.mxl,10.0,8,4,2,0,major,0,rest,,,,,,,,0.25,1.584090909090909,76.03636363636363
25,data/frescobaldi.mxl,10.0,8,4,2,0,major,0,note,Bb4,Bb,B,-1,4,70,10,0.375,1.6749999999999998,80.39999999999999
26,data/frescobaldi.mxl,10.0,8,4,2,0,major,0,note,A4,A,A,0,4,69,9,0.125,1.825,87.6
27,data/frescobaldi.mxl,10.0,8,4,2,0,major,0,note,G4,G,G,0,4,67,7,0.25,1.875,90.0
28,data/frescobaldi.mxl,10.0,8,4,2,0,major,0,note,C4,C,C,0,4,60,0,0.25,1.0,48.0
29,data/frescobaldi.mxl,10.0,8,4,2,0,major,0,note,D4,D,D,0,4,62,2,0.5,1.125,54.0
30,data/frescobaldi.mxl,10.0,8,4,2,0,major,0,note,C#4,C#,C,1,4,61,1,0.25,1.375,66.0
31,data/frescobaldi.mxl,10.0,8,4,2,0,major,0,note,D4,D,D,0,4,62,2,1.0,1.5,72.0
32,data/frescobaldi.mxl,10.0,8,4,2,0,major,0,note,A3,A,A,0,3,57,9,0.875,1.0,48.0
33,data/frescobaldi.mxl,10.0,8,4,2,0,major,0,note,G3,G,G,0,3,55,7,0.125,1.4375,69.0
34,data/frescobaldi.mxl,10.0,8,4,2,0,major,0,note,F3,F,F,0,3,53,5,0.125,1.5,72.0
35,data/frescobaldi.mxl,10.0,8,4,2,0,major,0,note,D3,D,D,0,3,50,2,0.125,1.5625,75.0
36,data/frescobaldi.mxl,10.0,8,4,2,0,major,0,note,G3,G,G,0,3,55,7,0.25,1.625,78.0
37,data/frescobaldi.mxl,10.0,8,4,2,0,major,0,note,F3,F,F,0,3,53,5,0.25,1.75,84.0
38,data/frescobaldi.mxl,10.0,8,4,2,0,major,0,note,Bb3,Bb,B,-1,3,58,10,0.25,1.875,90.0
39,data/frescobaldi.mxl,10.0,8,4,2,0,major,0,note,F3,F,F,0,3,53,5,0.5,1.0,48.0
40,data/frescobaldi.mxl,10.0,8,4,2,0,major,0,note,A2,A,A,0,2,45,9,0.5,1.25,60.0
41,data/frescobaldi.mxl,10.0,8,4,2,0,major,0,note,Bb2,Bb,B,-1,2,46,10,1.0,1.5,72.0
42,data/frescobaldi.mxl,10.0,8,4,2,0,major,0,note,F2,F,F,0,2,41,5,0.5,1.0,48.0
43,data/frescobaldi.mxl,10.0,8,4,2,0,major,0,note,A1,A,A,0,1,33,9,0.5,1.25,60.0
44,data/frescobaldi.mxl,10.0,8,4,2,0,major,0,note,Bb1,Bb,B,-1,1,34,10,1.0,1.5,72.0
45,data/frescobaldi.mxl,10.0,8,4,3,0,major,0,note,G4,G,G,0,4,67,7,0.25,2.0,96.0
46,data/frescobaldi.mxl,10.0,8,4,3,0,major,0,note,A4,A,A,0,4,69,9,0.125,2.113472622478386,101.44668587896253
47,data/frescobaldi.mxl,10.0,8,4,3,0,major,0,note,B4,B,B,0,4,71,11,0.125,2.178314121037464,104.55907780979827
48,data/frescobaldi.mxl,10.0,8,4,3,0,major,0,note,C5,C,C,0,5,72,0,0.375,2.243155619596542,107.67146974063401
49,data/frescobaldi.mxl,10.0,8,4,3,0,major,0,rest,,,,,,,,0.125,2.5835734870317,124.01152737752162
