,filepath,qpm,time_sign_num,time_sign_den,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset,onset_seconds
0,data/la_rue.mxl,120.0,2,2,1,-1,major,0,rest,,,,,,,,0.5,0.0,0.0
1,data/la_rue.mxl,120.0,2,2,1,-1,major,0,note,G4,G,G,0.0,4,67.0,7.0,0.5,0.5,1.0
74,data/la_rue.mxl,120.0,2,2,1,-1,major,0,note,D4,D,D,0.0,4,62.0,2.0,0.5,0.0,0.0
75,data/la_rue.mxl,120.0,2,2,1,-1,major,0,note,C4,C,C,0.0,4,60.0,0.0,0.5,0.5,1.0
151,data/la_rue.mxl,120.0,2,2,1,-1,major,0,rest,,,,,,,,0.5,0.0,0.0
152,data/la_rue.mxl,120.0,2,2,1,-1,major,0,note,G3,G,G,0.0,3,55.0,7.0,0.5,0.5,1.0
219,data/la_rue.mxl,120.0,2,2,1,-1,major,0,note,D3,D,D,0.0,3,50.0,2.0,0.5,0.0,0.0
220,data/la_rue.mxl,120.0,2,2,1,-1,major,0,note,E3,E,E,0.0,3,52.0,4.0,0.5,0.5,1.0
2,data/la_rue.mxl,120.0,2,2,2,-1,major,0,note,F4,F,F,0.0,4,65.0,5.0,0.5,1.0,2.0
3,data/la_rue.mxl,120.0,2,2,2,-1,major,0,note,G4,G,G,0.0,4,67.0,7.0,0.5,1.5,3.0
76,data/la_rue.mxl,120.0,2,2,2,-1,major,0,note,D4,D,D,0.0,4,62.0,2.0,0.5,1.0,2.0
77,data/la_rue.mxl,120.0,2,2,2,-1,major,0,rest,,,,,,,,0.5,1.5,3.0
153,data/la_rue.mxl,120.0,2,2,2,-1,major,0,note,A3,A,A,0.0,3,57.0,9.0,0.5,1.0,2.0
154,data/la_rue.mxl,120.0,2,2,2,-1,major,0,note,G3,G,G,0.0,3,55.0,7.0,0.5,1.5,3.0
221,data/la_rue.mxl,120.0,2,2,2,-1,major,0,note,D3,D,D,0.0,3,50.0,2.0,0.5,1.0,2.0
222,data/la_rue.mxl,120.0,2,2,2,-1,major,0,note,G3,G,G,0.0,3,55.0,7.0,0.5,1.5,3.0
4,data/la_rue.mxl,120.0,2,2,3,-1,major,0,rest,,,,,,,,0.5,2.0,4.0
5,data/la_rue.mxl,120.0,2,2,3,-1,major,0,note,B4,B,B,0.0,4,71.0,11.0,0.5,2.5,5.0
78,data/la_rue.mxl,120.0,2,2,3,-1,major,0,note,F4,F,F,0.0,4,65.0,5.0,0.5,2.0,4.0
79,data/la_rue.mxl,120.0,2,2,3,-1,major,0,note,G4,G,G,0.0,4,67.0,7.0,0.5,2.5,5.0
155,data/la_rue.mxl,120.0,2,2,3,-1,major,0,note,C4,C,C,0.0,4,60.0,0.0,0.5,2.0,4.0
156,data/la_rue.mxl,120.0,2,2,3,-1,major,0,note,D4,D,D,0.0,4,62.0,2.0,0.5,2.5,5.0
223,data/la_rue.mxl,120.0,2,2,3,-1,major,0,note,A3,A,A,0.0,3,57.0,9.0,0.5,2.0,4.0
224,data/la_rue.mxl,120.0,2,2,3,-1,major,0,note,G3,G,G,0.0,3,55.0,7.0,0.5,2.5,5.0
6,data/la_rue.mxl,120.0,2,2,4,-1,major,0,note,C5,C,C,0.0,5,72.0,0.0,0.5,3.0,6.0
